checkpoint,dataset,layer,aggregation,rankme,pr,alpha_req,top_1_var,top_5_var,top_10_var,top_25_var,top_50_var,top_100_var,top_250_var,top_500_var,top_1000_var
10B,French,layer_10,last,360.4689,33.4968,0.796026,0.1586,0.2623,0.3155,0.3954,0.4717,0.5676,0.7091,0.8124,0.9043
10B,French,layer_11,last,386.3203,33.5337,0.775498,0.1603,0.256,0.3088,0.387,0.4602,0.5516,0.6916,0.7983,0.8953
10B,French,layer_12,last,412.1763,35.6699,0.763894,0.156,0.2443,0.2972,0.3757,0.4495,0.5419,0.6835,0.7915,0.8905
10B,French,layer_13,last,444.2285,38.8624,0.75144,0.1489,0.2347,0.2877,0.3662,0.4388,0.5292,0.6707,0.781,0.8838
10B,French,layer_14,last,483.7744,43.493,0.735548,0.1392,0.2257,0.2799,0.3582,0.4284,0.5146,0.6539,0.7669,0.8749
10B,French,layer_15,last,515.7315,49.5368,0.727131,0.1283,0.2156,0.2708,0.3509,0.4213,0.5069,0.6456,0.7599,0.8701
10B,French,layer_16,last,554.496,57.1779,0.717345,0.1172,0.2043,0.2605,0.3418,0.4121,0.4974,0.6357,0.7512,0.8642
10B,French,layer_17,last,598.05,65.5892,0.707547,0.1075,0.1936,0.2487,0.3306,0.4016,0.4866,0.6241,0.7411,0.8575
10B,French,layer_18,last,619.218,72.4465,0.70006,0.0995,0.1883,0.244,0.328,0.3995,0.4841,0.6196,0.7362,0.8537
10B,French,layer_19,last,649.0044,80.9314,0.69172,0.0914,0.1816,0.2377,0.3223,0.3939,0.4781,0.6125,0.7295,0.8488
10B,French,layer_20,last,670.7637,87.9212,0.682246,0.0845,0.1786,0.2354,0.3198,0.3911,0.4742,0.6071,0.7235,0.8439
10B,French,layer_21,last,701.2925,96.2605,0.670976,0.0772,0.1747,0.2311,0.3152,0.3861,0.4681,0.5986,0.7147,0.8372
10B,French,layer_22,last,709.7111,101.6242,0.665543,0.0707,0.1744,0.2312,0.3157,0.3867,0.468,0.5966,0.7121,0.8349
10B,French,layer_23,last,718.1294,107.4053,0.661753,0.0649,0.1722,0.2296,0.3151,0.387,0.4686,0.5959,0.7106,0.8332
10B,French,layer_24,last,703.0352,106.5793,0.661264,0.0619,0.1752,0.232,0.3182,0.3928,0.4754,0.6017,0.7145,0.8349
10B,French,layer_25,last,689.8768,109.1115,0.663818,0.062,0.1722,0.2307,0.3211,0.399,0.4839,0.6101,0.7209,0.8384
10B,French,layer_26,last,649.1068,107.3154,0.672159,0.0654,0.17,0.2329,0.3295,0.4139,0.5029,0.6286,0.7354,0.8472
10B,French,layer_27,last,586.2395,91.0083,0.677965,0.076,0.1821,0.2459,0.3483,0.435,0.5239,0.647,0.7493,0.8554
10B,French,layer_28,last,495.5751,67.5695,0.684384,0.0926,0.2136,0.2772,0.3788,0.4647,0.5512,0.6697,0.7666,0.8657
10B,French,layer_29,last,424.8745,52.8135,0.686001,0.1062,0.2445,0.311,0.4095,0.491,0.5728,0.686,0.7783,0.8725
10B,French,layer_0,mean,149.9185,40.2628,1.223776,0.1243,0.2581,0.3536,0.5073,0.6414,0.7779,0.9167,0.9711,0.9916
10B,French,layer_1,mean,131.0508,29.5378,1.129201,0.1526,0.3061,0.3998,0.5465,0.6691,0.7913,0.9134,0.964,0.9878
10B,French,layer_2,mean,107.7211,19.8028,1.050135,0.1855,0.3817,0.4675,0.5933,0.6951,0.7958,0.9025,0.9542,0.9829
10B,French,layer_3,mean,59.033,9.0647,1.001749,0.3055,0.5088,0.5841,0.6841,0.7606,0.8347,0.9157,0.9577,0.983
10B,French,layer_4,mean,40.9756,6.2429,0.969029,0.3837,0.5724,0.6451,0.7337,0.7974,0.8575,0.9242,0.9601,0.9832
10B,French,layer_5,mean,38.2649,5.8318,0.943676,0.4004,0.5812,0.6596,0.7472,0.807,0.8624,0.9243,0.9587,0.982
10B,French,layer_6,mean,38.1998,5.4034,0.92227,0.4197,0.5801,0.6544,0.7409,0.8005,0.8558,0.9186,0.9546,0.9796
10B,French,layer_7,mean,41.1907,5.9621,0.907986,0.3974,0.5673,0.6485,0.7397,0.8007,0.8561,0.9177,0.9532,0.9785
10B,French,layer_8,mean,42.5575,5.9295,0.893682,0.3993,0.563,0.6429,0.7343,0.7955,0.8506,0.9128,0.9496,0.9766
10B,French,layer_9,mean,40.2715,5.3398,0.87805,0.4237,0.5736,0.6467,0.7342,0.7935,0.8474,0.9093,0.9468,0.9748
10B,French,layer_10,mean,38.9102,5.1659,0.867494,0.4313,0.5782,0.6506,0.738,0.7974,0.85,0.9098,0.9465,0.9744
10B,French,layer_11,mean,35.9404,4.6832,0.855573,0.455,0.5897,0.6585,0.7425,0.7997,0.8504,0.9089,0.9454,0.9735
10B,French,layer_12,mean,34.0877,4.6375,0.854432,0.4569,0.5957,0.6661,0.7519,0.8095,0.859,0.9144,0.9486,0.9749
10B,French,layer_13,mean,36.9074,5.1575,0.851349,0.4307,0.586,0.6614,0.7506,0.8091,0.859,0.9143,0.9482,0.9745
10B,French,layer_14,mean,39.4695,5.1534,0.839004,0.4317,0.5783,0.6515,0.7376,0.7961,0.8473,0.9055,0.9423,0.9714
10B,French,layer_15,mean,42.7576,5.7661,0.837265,0.4052,0.5684,0.6466,0.7353,0.7952,0.8471,0.9054,0.9421,0.9711
10B,French,layer_16,mean,49.0244,6.6091,0.837021,0.3758,0.5472,0.6269,0.7221,0.7861,0.8409,0.9019,0.94,0.97
10B,French,layer_17,mean,56.5766,7.9679,0.837438,0.3372,0.523,0.6086,0.7108,0.78,0.8371,0.8997,0.9386,0.9693
10B,French,layer_18,mean,63.9541,9.1759,0.835099,0.3109,0.4997,0.589,0.6988,0.7712,0.8318,0.8964,0.9364,0.968
10B,French,layer_19,mean,71.9404,9.8294,0.826273,0.2998,0.4845,0.5719,0.6814,0.7552,0.8178,0.886,0.9292,0.9641
10B,French,layer_20,mean,83.6029,12.4808,0.827767,0.2592,0.4476,0.5457,0.6687,0.7491,0.8153,0.8845,0.9279,0.9633
10B,French,layer_21,mean,102.6024,15.8898,0.833446,0.2222,0.4154,0.5132,0.6403,0.7262,0.797,0.8717,0.92,0.96
10B,French,layer_22,mean,114.4856,19.4082,0.839804,0.1916,0.3938,0.4957,0.6263,0.7155,0.7901,0.869,0.919,0.9597
10B,French,layer_23,mean,124.5046,23.3861,0.84758,0.1617,0.3769,0.4821,0.6167,0.7093,0.7851,0.8664,0.9182,0.9598
10B,French,layer_24,mean,132.7836,29.5962,0.860367,0.1281,0.3397,0.458,0.6092,0.7121,0.7921,0.873,0.923,0.9625
10B,French,layer_25,mean,129.1764,33.6384,0.873118,0.1002,0.326,0.4532,0.6172,0.7251,0.8073,0.8847,0.9308,0.9665
10B,French,layer_26,mean,124.5648,36.6294,0.898264,0.0867,0.3093,0.4453,0.6227,0.7374,0.8215,0.8971,0.9401,0.9717
10B,French,layer_27,mean,122.8148,37.2336,0.910169,0.0866,0.307,0.4442,0.6241,0.7402,0.8252,0.9012,0.9434,0.9736
10B,French,layer_28,mean,117.9246,35.4775,0.919298,0.0884,0.3189,0.4525,0.6282,0.744,0.8296,0.9051,0.9465,0.9752
10B,French,layer_29,mean,111.4741,32.6669,0.920694,0.0951,0.3353,0.4679,0.6383,0.7499,0.8336,0.9077,0.9481,0.976
10B,Indonesian,layer_0,last,114.8934,18.274,1.27052,0.213,0.3648,0.4394,0.549,0.653,0.7679,0.9014,0.965,0.9902
10B,Indonesian,layer_1,last,144.54,19.7164,1.093151,0.2067,0.3474,0.4184,0.5206,0.6174,0.7278,0.8624,0.9383,0.9788
10B,Indonesian,layer_2,last,161.1717,21.687,1.015254,0.1955,0.3317,0.4072,0.5139,0.6087,0.7167,0.8481,0.9247,0.9705
10B,Indonesian,layer_3,last,156.1845,21.9197,0.968318,0.1856,0.3583,0.4346,0.5345,0.6211,0.7201,0.8421,0.9161,0.9646
10B,Indonesian,layer_4,last,144.6007,20.0686,0.938614,0.1843,0.3833,0.4608,0.5543,0.6344,0.7257,0.8396,0.9108,0.9607
10B,Indonesian,layer_5,last,153.1552,20.5465,0.914661,0.1815,0.3786,0.4568,0.549,0.6274,0.7162,0.8287,0.9012,0.9551
10B,Indonesian,layer_6,last,169.424,22.3949,0.897467,0.1732,0.3633,0.4428,0.5361,0.6147,0.7033,0.8166,0.8914,0.9497
