checkpoint,language,task,lm_task_name,accuracy,num_fewshot,random_chance,rankme,pr,alpha_req,top_1_var,top_5_var,top_10_var,top_25_var,top_50_var,top_100_var,top_250_var,top_500_var,top_1000_var,rankme_layer,rankme_aggregation
510B,Chinese,m_mmlu,m_mmlu_zh,0.26524876566654004,5,0.25,64.2221,4.8562,0.555132,0.4469,0.577,0.6205,0.6672,0.6998,0.7321,0.7826,0.8313,0.891,layer_29,last
520B,Chinese,m_mmlu,m_mmlu_zh,0.2552981390049373,5,0.25,65.1924,4.8554,0.554518,0.4473,0.5735,0.6172,0.6646,0.6976,0.7302,0.7812,0.8302,0.8903,layer_29,last
531B,Chinese,m_mmlu,m_mmlu_zh,0.2605393087732624,5,0.25,66.4159,4.895,0.550771,0.4455,0.5716,0.6156,0.6626,0.6953,0.7277,0.7785,0.8277,0.8884,layer_29,last
541B,Chinese,m_mmlu,m_mmlu_zh,0.26448917584504367,5,0.25,67.0222,4.9242,0.55333,0.4443,0.5698,0.6144,0.6618,0.6947,0.7273,0.7784,0.8278,0.8886,layer_29,last
552B,Chinese,m_mmlu,m_mmlu_zh,0.26259020129130267,5,0.25,65.3869,4.8674,0.554449,0.4468,0.5731,0.6177,0.6648,0.6975,0.7299,0.7807,0.8296,0.8899,layer_29,last
562B,Chinese,m_mmlu,m_mmlu_zh,0.26486897075579185,5,0.25,66.2253,4.9486,0.55679,0.4428,0.5709,0.6163,0.6642,0.6975,0.7303,0.7814,0.8305,0.8906,layer_29,last
573B,Chinese,m_mmlu,m_mmlu_zh,0.26479301177364223,5,0.25,66.6697,4.9975,0.558084,0.4403,0.5706,0.6157,0.6639,0.6973,0.7301,0.7813,0.8305,0.8908,layer_29,last
583B,Chinese,m_mmlu,m_mmlu_zh,0.26213444739840486,5,0.25,66.9703,4.9896,0.556377,0.4408,0.569,0.6149,0.6631,0.6966,0.7294,0.7807,0.8299,0.8902,layer_29,last
593B,Chinese,m_mmlu,m_mmlu_zh,0.2613748575769085,5,0.25,66.8863,4.9849,0.556876,0.441,0.5691,0.6147,0.6632,0.6967,0.7297,0.7809,0.8301,0.8904,layer_29,last
10B,English,m_mmlu,m_mmlu_en,0.26919595715794237,5,0.25,576.623,43.2652,0.616561,0.1312,0.2436,0.2833,0.3461,0.4046,0.4752,0.5929,0.703,0.8232,layer_29,last
21B,English,m_mmlu,m_mmlu_en,0.27040277568260673,5,0.25,445.8446,27.9327,0.584857,0.1637,0.3023,0.339,0.3945,0.4455,0.5064,0.6088,0.7079,0.8206,layer_29,last
31B,English,m_mmlu,m_mmlu_en,0.255996379544426,5,0.25,335.1615,19.8718,0.578074,0.1986,0.3525,0.3893,0.4415,0.4883,0.5437,0.6362,0.7265,0.8307,layer_29,last
42B,English,m_mmlu,m_mmlu_en,0.2604465228541258,5,0.25,259.8685,16.0162,0.57236,0.2223,0.3994,0.4352,0.4843,0.5276,0.5782,0.6626,0.745,0.8409,layer_29,last
52B,English,m_mmlu,m_mmlu_en,0.25614723186000904,5,0.25,233.9618,14.5515,0.569582,0.2311,0.4161,0.4516,0.4993,0.5407,0.5893,0.6704,0.7502,0.8438,layer_29,last
