predictor,normalization,k,scope,checkpoint,n,spearman_r,spearman_p,pearson_r,pearson_p,layer_collapse,ckpt_collapse
abs_diff,overall_score,0,per_ckpt,363B,72,-0.0877,0.5954,-0.145,0.2268,average_rankme,none
abs_diff,overall_score,0,per_ckpt,373B,72,-0.0726,0.6543,-0.137,0.2627,average_rankme,none
abs_diff,overall_score,0,per_ckpt,384B,72,-0.0917,0.5864,-0.1639,0.1688,average_rankme,none
abs_diff,overall_score,0,per_ckpt,394B,72,-0.078,0.6344,-0.1442,0.2308,average_rankme,none
abs_diff,overall_score,0,per_ckpt,405B,72,-0.0969,0.5554,-0.1591,0.1638,average_rankme,none
abs_diff,overall_score,0,per_ckpt,415B,72,-0.0871,0.5914,-0.1444,0.2288,average_rankme,none
abs_diff,overall_score,0,per_ckpt,426B,72,-0.0875,0.5814,-0.1637,0.1508,average_rankme,none
abs_diff,overall_score,0,per_ckpt,436B,72,-0.0825,0.6154,-0.149,0.2128,average_rankme,none
abs_diff,overall_score,0,per_ckpt,447B,72,-0.0885,0.5964,-0.1613,0.1738,average_rankme,none
abs_diff,overall_score,0,per_ckpt,457B,72,-0.1004,0.5544,-0.1676,0.1518,average_rankme,none
abs_diff,overall_score,0,per_ckpt,468B,72,-0.1,0.5594,-0.1653,0.1608,average_rankme,none
abs_diff,overall_score,0,per_ckpt,478B,72,-0.0934,0.5764,-0.1599,0.1838,average_rankme,none
abs_diff,overall_score,0,per_ckpt,489B,72,-0.0909,0.5724,-0.151,0.1998,average_rankme,none
abs_diff,overall_score,0,per_ckpt,499B,72,-0.0821,0.6154,-0.1521,0.2118,average_rankme,none
abs_diff,overall_score,0,per_ckpt,510B,72,-0.0749,0.6404,-0.1487,0.2138,average_rankme,none
abs_diff,overall_score,0,per_ckpt,520B,72,-0.0838,0.6094,-0.154,0.1908,average_rankme,none
abs_diff,overall_score,0,per_ckpt,531B,72,-0.0865,0.5904,-0.1519,0.2018,average_rankme,none
abs_diff,overall_score,0,per_ckpt,541B,72,-0.0909,0.5764,-0.1585,0.1828,average_rankme,none
abs_diff,overall_score,0,per_ckpt,552B,72,-0.0744,0.6444,-0.1488,0.2258,average_rankme,none
abs_diff,overall_score,0,per_ckpt,562B,72,-0.0885,0.5964,-0.1579,0.1928,average_rankme,none
abs_diff,overall_score,0,per_ckpt,573B,72,-0.0901,0.5964,-0.1554,0.1988,average_rankme,none
abs_diff,overall_score,0,per_ckpt,583B,72,-0.0871,0.5924,-0.1545,0.1968,average_rankme,none
abs_diff,overall_score,0,per_ckpt,593B,72,-0.0982,0.5435,-0.1564,0.1948,average_rankme,none
abs_diff,overall_score,0,per_ckpt,main,72,-0.09,0.5934,-0.1568,0.1868,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,10B,72,-0.0699,0.7013,-0.0394,0.7483,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,21B,72,-0.0725,0.6823,-0.0476,0.7043,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,31B,72,-0.0761,0.6503,-0.0515,0.6713,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,42B,72,-0.0722,0.6583,-0.0566,0.6374,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,52B,72,-0.0779,0.6394,-0.0554,0.6484,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,63B,72,-0.079,0.6364,-0.0469,0.6893,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,73B,72,-0.0892,0.5914,-0.0537,0.6464,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,84B,72,-0.0678,0.6763,-0.061,0.6114,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,94B,72,-0.0274,0.8142,0.0251,0.8202,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,105B,72,-0.0826,0.6364,-0.0518,0.6683,average_rankme,none
abs_diff,transfer_score,0,per_ckpt,115B,72,-0.0749,0.6364,-0.0579,0.6264,average_rankme,none
