predictor,normalization,k,scope,checkpoint,n,spearman_r,spearman_p,pearson_r,pearson_p,layer
A_signed_ratio,overall_score,0,pooled,,72,0.0116,0.9228,-0.0068,0.9546,layer_29
A_signed_ratio,transfer_score,0,pooled,,72,-0.0186,0.8765,-0.0743,0.5349,layer_29
A_signed_ratio,transfer_score_str,0,pooled,,72,-0.355,0.0022,-0.4029,0.0004,layer_29
A_signed_ratio,overall_score_str,0,pooled,,72,-0.1461,0.2207,-0.2004,0.0914,layer_29
A_signed_ratio,transfer_margin_str,0,pooled,,72,0.0112,0.9257,-0.0557,0.6422,layer_29
A_signed_ratio,overall_margin_str,0,pooled,,72,0.0493,0.6807,-0.0782,0.5136,layer_29
A_signed_ratio,accuracy_gpt-5-mini,0,pooled,,72,-0.03,0.8024,-0.0621,0.6041,layer_29
A_signed_ratio,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.0938,0.4331,-0.0431,0.7191,layer_29
A_signed_ratio,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.1435,0.2292,-0.0927,0.4386,layer_29
A_log_ratio,accuracy_majority,0,pooled,,72,-0.0997,0.4046,-0.0812,0.4975,layer_29
A_log_ratio,overall_score,0,pooled,,72,0.0116,0.9228,0.0489,0.6831,layer_29
A_log_ratio,transfer_score,0,pooled,,72,-0.0186,0.8765,-0.0536,0.6545,layer_29
A_log_ratio,transfer_score_str,0,pooled,,72,-0.355,0.0022,-0.3429,0.0032,layer_29
A_log_ratio,overall_score_str,0,pooled,,72,-0.1461,0.2207,-0.091,0.447,layer_29
A_log_ratio,transfer_margin_str,0,pooled,,72,0.0112,0.9257,0.0017,0.9889,layer_29
A_log_ratio,overall_margin_str,0,pooled,,72,0.0493,0.6807,0.0622,0.604,layer_29
A_log_ratio,accuracy_gpt-5-mini,0,pooled,,72,-0.03,0.8024,-0.0101,0.933,layer_29
A_log_ratio,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.0938,0.4331,-0.024,0.8413,layer_29
A_log_ratio,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.1435,0.2292,-0.0908,0.448,layer_29
drop_to_min_abs_diff,accuracy_majority,0,pooled,,72,-0.1093,0.3606,-0.1696,0.1543,layer_29
drop_to_min_abs_diff,overall_score,0,pooled,,72,-0.0968,0.4186,-0.1567,0.1887,layer_29
drop_to_min_abs_diff,transfer_score,0,pooled,,72,-0.0757,0.5273,-0.0898,0.4531,layer_29
drop_to_min_abs_diff,transfer_score_str,0,pooled,,72,-0.3613,0.0018,-0.3279,0.0049,layer_29
drop_to_min_abs_diff,overall_score_str,0,pooled,,72,-0.4046,0.0004,-0.4127,0.0003,layer_29
drop_to_min_abs_diff,transfer_margin_str,0,pooled,,72,-0.182,0.126,-0.1943,0.1019,layer_29
drop_to_min_abs_diff,overall_margin_str,0,pooled,,72,-0.5176,0.0,-0.458,0.0001,layer_29
drop_to_min_abs_diff,accuracy_gpt-5-mini,0,pooled,,72,-0.1212,0.3106,-0.1596,0.1805,layer_29
drop_to_min_abs_diff,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.1531,0.1993,-0.175,0.1415,layer_29
drop_to_min_abs_diff,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.0119,0.9212,0.0094,0.9373,layer_29
drop_to_min_signed_diff,accuracy_majority,0,pooled,,72,-0.0878,0.4635,-0.0511,0.6696,layer_29
drop_to_min_signed_diff,overall_score,0,pooled,,72,0.0331,0.7823,0.0687,0.5663,layer_29
drop_to_min_signed_diff,transfer_score,0,pooled,,72,0.0023,0.9848,-0.0419,0.7269,layer_29
drop_to_min_signed_diff,transfer_score_str,0,pooled,,72,-0.3616,0.0018,-0.3529,0.0024,layer_29
drop_to_min_signed_diff,overall_score_str,0,pooled,,72,-0.1602,0.1789,-0.1183,0.3222,layer_29
drop_to_min_signed_diff,transfer_margin_str,0,pooled,,72,-0.0055,0.9632,-0.0117,0.9226,layer_29
drop_to_min_signed_diff,overall_margin_str,0,pooled,,72,0.0281,0.8145,0.0309,0.7968,layer_29
drop_to_min_signed_diff,accuracy_gpt-5-mini,0,pooled,,72,-0.0221,0.8541,0.0086,0.9427,layer_29
drop_to_min_signed_diff,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.0921,0.4418,-0.0248,0.8362,layer_29
drop_to_min_signed_diff,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.1277,0.2851,-0.0675,0.5729,layer_29
drop_to_min_min,accuracy_majority,0,pooled,,72,0.2449,0.0381,0.253,0.032,layer_29
drop_to_min_min,overall_score,0,pooled,,72,0.1204,0.3136,0.1658,0.164,layer_29
drop_to_min_min,transfer_score,0,pooled,,72,0.0806,0.5009,0.0171,0.8869,layer_29
drop_to_min_min,transfer_score_str,0,pooled,,72,0.1733,0.1454,0.1981,0.0953,layer_29
drop_to_min_min,overall_score_str,0,pooled,,72,0.2677,0.023,0.3377,0.0037,layer_29
